Player Name,ESPN ID
CH Gayle,51880
Mandeep Singh,398506
TM Head,530011
KM Jadhav,290716
SR Watson,8180
Sachin Baby,432783
STR Binny,27223
S Aravind,290632
TS Mills,459257
YS Chahal,430246
A Choudhary,527299
DA Warner,219889
S Dhawan,28235
MC Henriques,5961
Yuvraj Singh,36084
DJ Hooda,497121
BCJ Cutting,230371
NV Ojha,32102
Bipul Sharma,35928
B Kumar,326016
A Nehra,31820
Rashid Khan,793463
PA Patel,32242
JC Buttler,308967
RG Sharma,34102
N Rana,604527
AT Rayudu,33141
KH Pandya,471342
KA Pollard,230559
HH Pandya,625371
TG Southee,232364
MJ McClenaghan,319439
JJ Bumrah,625383
AM Rahane,277916
MA Agarwal,398438
SPD Smith,267192
BA Stokes,311158
MS Dhoni,28081
MK Tiwary,35565
R Bhatia,26907
DL Chahar,447261
A Zampa,379504
AB Dinda,227712
Imran Tahir,40618
JJ Roy,298438
BB McCullum,37737
SK Raina,33335
AJ Finch,5334
KD Karthik,30045
DR Smith,20236
MS Gony,317293
P Kumar,30732
SB Jakati,29655
DS Kulkarni,277955
S Kaushik,917213
G Gambhir,28763
CA Lynn,326637
RV Uthappa,35582
MK Pandey,290630
YK Pathan,32498
SA Yadav,446507
CR Woakes,247235
PP Chawla,32966
Kuldeep Yadav,559235
SP Narine,230558
TA Boult,277912
HM Amla,43906
M Vohra,532856
WP Saha,279810
AR Patel,554691
GJ Maxwell,325026
DA Miller,321777
MP Stoinis,325012
Swapnil Singh,232292
MM Sharma,537119
Sandeep Sharma,438362
T Natarajan,802575
DT Christian,4864
RD Chahar,1064812
Vishnu Vinod,732293
P Negi,530773
Iqbal Abdulla,277237
B Stanlake,533042
AP Tare,333904
SW Billings,297628
KK Nair,398439
SV Samson,425943
RR Pant,931581
CH Morris,439952
CR Brathwaite,457249
PJ Cummins,489889
A Mishra,31730
S Nadeem,31872
Z Khan,30102
Basil Thampi,732291
Tejas Baroka,1082859
AS Rajpoot,591650
Harbhajan Singh,29264
SL Malinga,49758
VR Aaron,360911
AB de Villiers,44936
CJ Anderson,36189
F du Plessis,44828
RA Tripathi,446763
V Shankar,477021
Mustafizur Rahman,330902
I Sharma,236779
C de Grandhomme,55395
UT Yadav,376116
V Kohli,253802
S Badree,51433
Ishan Kishan,720471
RA Jadeja,234675
AJ Tye,459508
Ankit Sharma,422992
SN Thakur,475281
LH Ferguson,493773
SS Iyer,642519
EJG Morgan,24598
KC Cariappa,777537
MM Patel,18458
JD Unadkat,390484
AF Milne,450860
AD Mathews,49764
Mohammed Shami,481896
NM Coulter-Nile,261354
Mohammad Nabi,25913
BB Sran,537126
S Kaul,326017
J Yadav,447587
KS Williamson,277906
Mohammed Siraj,940973
SE Marsh,6683
Gurkeerat Singh,537124
JP Faulkner,270484
Shakib Al Hasan,56143
K Rabada,550215
MG Johnson,6033
Washington Sundar,719715
AD Nath,500360
SS Agarwal,1079668
NB Singh,853259
KV Sharma,30288
DM Bravo,277472
Ankit Soni,1083128
AR Bawne,327123
SP Jackson,237696
MJ Guptill,226492
Anureet Singh,376324
IK Pathan,32685
PJ Sangwan,279545
MN Samuels,52983
LMP Simmons,53116
R Tewatia,423838
MJ Henry,506612
SS Tiwary,35390
R Vinay Kumar,35731
HV Patel,390481
Avesh Khan,694211
IR Jaggi,279554
CJ Jordan,288992
E Lewis,431901
M Markande,1081442
DJ Bravo,51439
MA Wood,351588
C Munro,232359
KL Rahul,422108
R Ashwin,26421
Mujeeb Ur Rahman,974109
Q de Kock,379143
SN Khan,642525
K Khejroliya,1083033
RK Singh,723105
AD Russell,276298
DJM Short,308798
K Gowtham,424377
S Gopal,344580
B Laughlin,315623
TK Curran,550235
A Dananjaya,574178
Shubman Gill,1070173
Shivam Mavi,1079848
M Vijay,237095
H Klaasen,436757
RK Bhui,642531
JC Archer,669855
PP Shaw,1070168
LE Plunkett,19264
JP Duminy,44932
AD Hales,249866
MK Lomror,853265
IS Sodhi,559066
M Ashwin,528067
KM Asif,1083030
L Ngidi,542023
DR Shorey,590327
DJ Willey,308251
M Prasidh Krishna,917159
MM Ali,8917
SP Goswami,302579
P Chopra,500135
JPR Scantlebury-Searles,230554
Abhishek Sharma,1070183
S Lamichhane,960361
CJ Dala,545467
KK Ahmed,942645
SO Hetmyer,670025
S Dube,714451
Navdeep Saini,700167
JM Bairstow,297433
CA Ingram,45705
KMA Paul,677081
Rasikh Salam,1161489
N Pooran,604302
SM Curran,662973
GC Viljoen,375126
CV Varun,1108375
NS Naik,554700
GH Vihari,452044
P Ray Barman,1159712
MJ Santner,502714
JP Behrendorff,272477
SC Kuggeleijn,539548
AS Joseph,670031
S Midhun,1131619
HF Gurney,244639
SD Lad,422342
R Parag,1079434
JL Denly,12454
LS Livingstone,403902
Arshdeep Singh,1125976
AJ Turner,500268
DW Steyn,47492
Harpreet Brar,1168641
SE Rutherford,914541
Y Prithvi Raj,1121579
O Thomas,914567
AS Roy,1079839
S Sandeep Warrier,592735
P Simran Singh,1161024
J Suchith,527663
JL Pattinson,272465
A Nortje,481979
SS Cottrell,495551
Ravi Bishnoi,1175441
T Banton,877051
D Padikkal,1119026
I Udana,328026
PK Garg,1070180
JO Holder,391485
Abdul Samad,1175485
YBK Jaiswal,1151278
RD Gaikwad,1060380
KL Nagarkoti,1070188
TU Deshpande,822553
JR Philippe,1124282
Kartik Tyagi,1122918
JDS Neesham,355269
Shahbaz Ahmed,1159711
DR Sams,826901
N Jagadeesan,1048813
AT Carey,326434
JR Hazlewood,288284
CJ Green,787073
MR Marsh,272450
P Dubey,777515
Monu Kumar,694209
M Jansen,696401
RM Patidar,823703
KA Jamieson,625960
M Shahrukh Khan,719719
JA Richardson,774223
RP Meredith,961713
C Sakariya,1131754
Lalit Yadav,930189
Virat Singh,720465
Jalaj S Saxena,237199
LI Meriwala,573930
FA Allen,670013
KW Richardson,272262
Anuj Rawat,1123073
DJ Malan,236489
KS Bharat,529436
PWH de Silva,784379
VR Iyer,851403
Umran Malik,1246528
GD Phillips,823509
Akash Singh,1175458
GHS Garton,643433
AK Markram,600498
K Yadav,1206495
T Shamsi,379145
NT Ellis,826915
RV Patel,1201520
TL Seifert,625964
Anmolpreet Singh,851261
IC Porel,967603
AU Rashid,244497
TH David,892749
DP Conway,379140
Tilak Varma,1170265
R Powell,820351
Akash Deep,1176959
PBB Rajapaksa,342619
RA Bawa,1292502
OF Smith,820691
A Badoni,1151270
PVD Chameera,552152
Mohsin Khan,919535
MS Wade,230193
A Manohar,778963
R Shepherd,677077
D Pretorius,327830
Mukesh Choudhary,1125688
JM Sharma,721867
VG Arora,1209292
D Brevis,1070665
B Sai Sudharsan,1151288
DG Nalkande,1111917
M Theekshana,1138316
Shashank Singh,377534
Ramandeep Singh,1079470
HE van der Dussen,337790
KR Sen,1163695
SS Prabhudessai,1083851
Yash Dayal,1159720
Aman Hakim Khan,1254269
OC McCoy,906783
HR Shokeen,1175423
R Dhawan,290727
DJ Mitchell,381743
B Indrajith,477069
Harshit Rana,1312645
K Kartikeya,1159843
Simarjeet Singh,1159722
SA Abbott,398666
Fazalhaq Farooqi,974175
R Sai Kishore,1048739
KS Sharma,1246518
T Stubbs,595978
PH Solanki,1252337
M Pathirana,1194795
R Sanjay Yadav,1048841
A Tomar,1081183
PN Mankad,956871
RS Hangargekar,1175429
J Little,928067
Sikandar Raza,299572
Rahmanullah Gurbaz,974087
KR Mayers,348056
RR Rossouw,318845
Mukesh Kumar,926851
NA Saini,
HC Brook,911707
C Green,1076713
N Wadhera,1151273
Arshad Khan,39005
MG Bracewell,326968
RJW Topley,461632
Yash Thakur,1070196
Abishek Porel,1277545
Dhruv Jurel,1175488
Suyash Sharma,1350792
SSB Magala,379776
MW Short,605575
Mohit Rathee,1349361
WD Parnell,265564
YV Dhull,1292498
Vijaykumar Vyshak,777815
Yudhvir Singh,1206052
Atharva Taide,1125958
Harpreet Singh,340854
Arjun Tendulkar,1148776
D Jansen,1058501
Noor Ahmad,1182529
Naveen-ul-Haq,793447
Liton Das,536936
PD Salt,669365
Mayank Dagar,942367
Abdul Basith,1287067
D Wiese,221140
Gurnoor Brar,1287033
AJ Hosein,530812
Akash Madhwal,1206039
R Goyal,1350770
JE Root,303669
Vivrant Sharma,1252370
MD Shanaka,437316
Sanvir Singh,1132219
Nithish Kumar Reddy,1175496
H Sharma,1350761
R Ravindra,959767
Sameer Rizvi,1175489
SD Hope,581379
Sumit Kumar,1159734
MA Starc,311592
N Burger,971349
Azmatullah Omarzai,819429
SH Johnson,1123718
L Wood,573170
Naman Dhir,1287032
G Coetzee,596010
SZ Mulani,1131607
KT Maphaka,1294342
A Raghuvanshi,1292495
MP Yadav,1292563
M Siddharth,1151286
SB Dubey,1252585
Ashutosh Sharma,1131978
Saurav Chauhan,1287369
Kumar Kushagra,1207295
BR Sharath,917231
KA Maharaj,267724
WG Jacks,897549
J Fraser-McGurk,1168049
Tanush Kotian,1125960
Arshad Khan (2),
S Joseph,1356971
N Thushara,955235
LB Williams,379887
AA Kulkarni,1403153
RJ Gleeson,473191
MJ Suthar,1175426
A Kamboj,1175428
Gulbadin Naib,352048
D Ferreira,698315
V Viyaskanth,1153149
V Kaverappa,1155262
T Kohler-Cadmore,470633
Shivam Singh,1380113
SC Ganguly,28779
RT Ponting,7133
DJ Hussey,5766
Mohammad Hafeez,41434
LR Shukla,34019
AB Agarkar,26184
M Kartik,30049
R Dravid,28114
W Jaffer,29646
JH Kallis,45789
CL White,8291
MV Boucher,44111
B Akhil,26206
AA Noffke,6938
SB Joshi,29725
ML Hayden,5616
MEK Hussey,5939
JDP Oram,38062
S Badrinath,26806
Joginder Sharma,29976
P Amarnath,290629
M Muralitharan,49636
K Goel,28997
JR Hopes,5702
KC Sangakkara,50710
SM Katich,6128
P Dharmani,28067
B Lee,6278
WA Mota,31041
S Sreesanth,34274
T Kohli,331855
M Kaif,29990
DS Lehmann,6285
M Rawat,33440
D Salunkhe,278482
SK Warne,8166
SK Trivedi,35353
V Sehwag,35263
M Manhas,31001
DL Vettori,38710
MF Maharoof,49638
B Geeves,5472
GD McGrath,6565
L Ronchi,7502
ST Jayasuriya,49209
DJ Thornely,8002
PR Shah,34282
AM Nayar,32091
SM Pollock,46774
MA Khote,30220
S Chanderpaul,51469
LRPL Taylor,38699
AC Gilchrist,5390
Y Venugopal Rao,35805
VVS Laxman,30750
A Symonds,7702
SB Styris,38407
AS Yadav,36110
SB Bangar,27225
WPUJC Vaas,50804
RP Singh,1331889
PP Ojha,32130
DPMD Jayawardene,49289
S Sohal,228943
Kamran Akmal,41028
Pankaj Singh,32973
Shahid Afridi,42639
Shoaib Malik,42657
Mohammad Asif,41411
VY Mahesh,31732
VS Yeligati,307448
D Kalyankrishna,30719
GC Smith,47270
RR Sarwan,52969
VRV Singh,35281
Sohail Tanvir,43265
A Kumble,30176
DNT Zoysa,51050
SD Chitnis,337916
TM Srivastava,35401
JA Morkel,46248
B Chipli,27685
DB Das,328163
CRD Fernando,48835
HH Gibbs,45224
Gagandeep Singh,28758
Salman Butt,42683
BJ Hodge,5674
Umar Gul,43524
SA Asnodkar,26782
SP Fleming,37000
S Vidyut,35619
M Ntini,46592
LPC Silva,50431
DB Ravi Teja,237701
DP Vijaykumar,272949
Misbah-ul-Haq,41378
YV Takawale,35357
RR Raje,290713
U Kaul,30235
DT Patil,32389
S Anirudha,26798
CK Kapugedera,209457
L Balaji,26829
A Chopra,27639
T Taibu,55805
J Arunkumar,26291
NK Patel,32240
SR Tendulkar,35320
TM Dilshan,48472
AD Mascarenhas,16932
LA Pomersbach,232284
Shoaib Akhtar,42655
RR Powar,32391
Younis Khan,43652
PM Sarvesh Kumar,327127
RV Pawar,32305
Abdur Razzak,56283
H Das,236810
A Nel,46569
A Mukund,302582
BAW Mendis,268739
A Flintoff,12856
T Thushara,49677
T Henderson,45434
Kamran Khan,391121
JD Ryder,38373
KP Pietersen,19296
DP Nannes,6981
AM Salvi,34264
RS Bopara,10582
VS Malik,31738
YA Abdulla,224367
Harmeet Singh,391128
FH Edwards,51782
R Bishnoi,236766
Yashpal Singh,36130
PC Valthaty,35630
RJ Quiney,211854
AS Raut,230593
RR Bose,27572
KP Appanna,269170
AA Bilakhia,26946
Shoaib Ahmed,317709
AN Ghosh,220435
MN van Wyk,47711
RE van der Merwe,47850
TL Suman,34281
S Tyagi,317784
GR Napier,17991
LA Carseldine,4541
SM Harwood,5605
D du Preez,44938
RJ Harris,5779
A Singh,20203
M Morkel,46538
GJ Bailey,4451
C Nanda,32093
A Mithun,310958
SS Sarkar,34402
J Botha,44149
Mashrafe Mortaza,56007
SS Shaikh,377437
Jaskaran Singh,376102
AB McDonald,6553
Y Nagar,317786
CK Langeveldt,45963
Mohammad Ashraful,55988
RA Shaikh,279460
Anirudh Singh,26252
CA Pujara,32540
OA Shah,20123
R Sathish,33870
R McLaren,46393
AG Murtaza,26490
AA Jhunjhunwala,29702
P Dogra,28160
A Uniyal,35586
SW Tait,8076
MS Bisla,27280
RS Gavaskar,28792
JM Kemp,45797
S Ladda,317292
SE Bond,36326
MJ Lumb,16406
DR Martyn,6513
S Narwal,32084
AB Barath,274926
SJ Srivastava,34245
FY Fazal,28671
AC Voges,8119
MD Mishra,31028
R Sharma,1179839
J Theron,223642
NLTC Perera,233514
KB Arun Karthik,319745
KAJ Roach,230553
PD Collingwood,10772
C Ganapathy,28764
MB Parmar,240734
DE Bollinger,4508
SB Wagh,1428735
AP Dole,236694
AN Ahmed,228430
RS Sodhi,34078
L Ablish,26236
B Sumanth,253798
S Sriram,34118
C Madan,31104
AG Paunikar,324444
ND Doshi,12440
S Randiv,50438
AL Menaria,371150
RV Gomez,28846
AUK Pathan,430401
UBT Chand,446499
DJ Jacobs,45782
JEC Franklin,37004
Sunny Singh,35282
NJ Rimmington,7443
BA Bhatt,433410
AC Thomas,47569
RN ten Doeschate,47660
JJ van der Wath,47693
R Ninan,353669
TD Paine,7252
DH Yagnik,36071
BJ Haddin,5560
J Syed Mohammad,35261
NL McCullum,37749
JE Taylor,53191
KMDN Kulasekara,49535
TR Birt,4292
M Klinger,6161
P Parameswaran,279562
AC Blizzard,4498
I Malhotra,31088
CJ Ferguson,5236
AA Kazi,422106
Anand Rajan,26797
P Prasanth,32211
Y Gnaneswara Rao,28830
AA Chavan,337913
S Rana,556537
KH Devdhar,340063
SS Mundhe,279862
RW Price,55698
RE Levi,46148
M de Lange,393279
KK Cooper,371814
DAJ Bracewell,362541
DJ Harris,5583
TP Sudhindra,34139
GB Hogg,5681
RR Bhatkal,27150
P Awana,323131
V Pratap Singh,528967
CJ McKay,6903
T Mishra,24790
A Ashish Reddy,389605
N Saini,274785
Azhar Mahmood,39024
A Chandila,27783
LJ Wright,23460
RJ Peterson,46750
R Shukla,390547
BB Samantray,430125
MJ Clarke,4578
BW Hilfenhaus,5941
PA Reddy,376109
AP Majumdar,31750
K Upadhyay,431876
Sunny Gupta,271315
MC Juneja,390480
MDKJ Perera,300631
BMAJ Mendis,49700
R Rampaul,52912
SMSM Senanayake,273439
BJ Rohrer,7547
IC Pandey,447439
CM Gautam,302208
X Thalaivan Sargunam,319744
DJG Sammy,53115
P Suyal,431213
UA Birla,262533
PV Tambe,587152
Parvez Rasool,378496
MG Neser,376169
NJ Maddinson,333780
BR Dunk,388678
Shivam Sharma,717201
VH Zol,554699
K Santokie,314622
BE Hendricks,379927
JW Hastings,228622
Karanveer Singh,322535
DJ Muthuswami,528985
RG More,424219
GS Sandhu,499660
P Sahu,34155
KJ Abbott,297583
PSP Handscomb,334337
SM Boland,446548
UT Khawaja,215155
F Behardien,44410
ER Dwivedi,340841
